,,,Expected,Expected,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
116,Marcus Thuram,2,1.0,1.4,2024-2025,26,fr FRA,Inter,it Serie A,10,797,8.9,10,0,0,7,2,9,7,0,0,0,3.3,3.3,1.4,4.7,1.0,4.7,+3.7,+3.7,+0.6,0.12,28,0.25,0.47,15,53.6,12.5,0,FW,6f8cd6d0
117,Reda Belahyane,2,0.5,0.7,2024-2025,20,ma MAR,Hellas Verona,it Serie A,10,871,9.7,9,1,0,0,2,2,0,0,0,0,0.1,0.1,0.7,0.8,0.5,0.8,-0.1,-0.1,+1.3,0.05,3,0.00,,0,0.0,26.6,0,MF,705a1642
118,Kaoru Mitoma,2,1.5,2.2,2024-2025,27,jp JPN,Brighton,eng Premier League,9,740,8.2,8,1,0,1,2,3,1,0,0,0,2.3,2.3,2.2,4.4,1.5,4.4,-1.3,-1.3,-0.2,0.13,19,0.05,0.13,8,42.1,14.2,0,FWMF,74618572
119,Jeremie Frimpong,2,1.1,1.3,2024-2025,23,nl NED,Leverkusen,de Bundesliga,8,580,6.4,6,2,0,1,2,3,1,0,0,0,0.5,0.5,1.3,1.9,1.1,1.9,+0.5,+0.5,+0.7,0.13,4,0.25,0.50,2,50.0,13.6,0,DF,74f2e748
120,Elias Saad,2,0.3,0.5,2024-2025,24,tn TUN,St. Pauli,de Bundesliga,6,343,3.8,3,3,0,2,2,4,2,0,0,0,0.9,0.9,0.5,1.4,0.3,1.4,+1.1,+1.1,+1.5,0.09,10,0.20,0.50,4,40.0,17.5,0,FWMF,78a2284f
121,Jarrod Bowen,2,2.3,2.9,2024-2025,27,eng ENG,West Ham,eng Premier League,9,786,8.7,9,0,0,3,2,5,2,1,1,0,1.8,1.1,2.9,4.7,2.3,4.0,+1.2,+0.9,-0.9,0.06,18,0.11,0.29,7,38.9,20.0,0,FWMF,79c84d1c
122,Pedro Neto,2,0.8,1.5,2024-2025,24,pt POR,Chelsea,eng Premier League,9,378,4.2,3,6,0,0,2,2,0,0,0,0,0.3,0.3,1.5,1.9,0.8,1.9,-0.3,-0.3,+0.5,0.04,8,0.00,0.00,2,25.0,18.6,0,FW,7ba2eaa9
123,Tino Kadewere,2,0.5,0.9,2024-2025,28,zw ZIM,Nantes,fr Ligue 1,7,396,4.4,5,2,0,0,2,2,0,0,0,0,0.7,0.7,0.9,1.6,0.5,1.6,-0.7,-0.7,+1.1,0.17,4,0.00,0.00,3,75.0,15.6,0,MFFW,7d08063d
124,Iago Aspas,2,1.0,0.9,2024-2025,36,es ESP,Celta Vigo,es La Liga,10,721,8.0,8,2,0,4,2,6,3,1,2,1,3.4,1.8,0.9,4.2,1.0,2.7,+0.6,+1.2,+1.1,0.09,20,0.15,0.33,9,45.0,21.4,1,FWMF,7dcf86f6
125,Vitaly Janelt,2,0.7,1.0,2024-2025,26,de GER,Brentford,eng Premier League,9,723,8.0,9,0,0,0,2,2,0,0,0,0,0.2,0.2,1.0,1.1,0.7,1.1,-0.2,-0.2,+1.0,0.04,4,0.00,0.00,1,25.0,19.9,0,MF,8449d35e
126,Leif Davis,2,1.8,1.7,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,9,810,9.0,9,0,0,0,2,2,0,0,0,0,0.5,0.5,1.7,2.1,1.8,2.1,-0.5,-0.5,+0.3,0.07,7,0.00,0.00,1,14.3,21.2,1,DF,8574c61f
127,Álvaro Tejero,2,1.8,1.7,2024-2025,28,es ESP,Espanyol,es La Liga,10,515,5.7,6,4,1,1,2,3,1,0,0,0,0.3,0.3,1.7,2.1,1.8,2.1,+0.7,+0.7,+0.3,0.05,7,0.14,0.50,2,28.6,23.5,3,MFDF,868ce848
128,Philipp Hofmann,2,0.8,1.6,2024-2025,31,de GER,Bochum,de Bundesliga,8,514,5.7,6,2,0,0,2,2,0,0,0,0,1.1,1.1,1.6,2.6,0.8,2.6,-1.1,-1.1,+0.4,0.08,13,0.00,0.00,2,15.4,16.0,0,FW,877bc844
129,Zuriko Davitashvili,2,1.0,1.2,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,9,779,8.7,9,0,0,5,2,7,4,1,1,0,2.7,2.0,1.2,4.0,1.0,3.2,+2.3,+2.0,+0.8,0.10,19,0.21,0.67,6,31.6,21.0,1,MFFW,88b4d2e3
130,Serge Gnabry,2,2.0,2.3,2024-2025,29,de GER,Bayern Munich,de Bundesliga,7,457,5.1,6,1,1,2,2,4,2,0,0,0,2.2,2.2,2.3,4.5,2.0,4.5,-0.2,-0.2,-0.3,0.13,17,0.12,0.25,8,47.1,14.0,0,FWMF,88e357ef
131,Robert Lewandowski,2,0.4,1.6,2024-2025,35,pl POL,Barcelona,es La Liga,11,890,9.9,11,0,0,14,2,16,12,2,3,1,13.0,10.7,1.6,14.6,0.4,12.2,+1.0,+1.3,+0.4,0.26,41,0.29,0.55,22,53.7,14.0,2,FW,8d78e732
132,Dan Ndoye,2,0.6,0.9,2024-2025,23,ch SUI,Bologna,it Serie A,7,496,5.5,6,1,0,0,2,2,0,0,0,0,1.6,1.6,0.9,2.5,0.6,2.5,-1.6,-1.6,+1.1,0.12,13,0.00,0.00,5,38.5,16.3,0,FWMF,8e697a8f
133,Micky van de Ven,2,0.7,1.2,2024-2025,23,nl NED,Tottenham,eng Premier League,8,710,7.9,8,0,0,0,2,2,0,0,0,0,0.2,0.2,1.2,1.4,0.7,1.4,-0.2,-0.2,+0.8,0.06,4,0.00,0.00,1,25.0,11.4,0,DF,8fe2a392
134,Christopher Operi,2,1.6,1.3,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,8,719,8.0,8,0,0,0,2,2,0,0,0,0,0.1,0.1,1.3,1.5,1.6,1.5,-0.1,-0.1,+0.7,0.03,5,0.00,0.00,1,20.0,23.4,1,DFFW,914bb955
135,Son Heung-min,2,1.2,1.8,2024-2025,32,kr KOR,Tottenham,eng Premier League,6,519,5.8,6,0,0,3,2,5,3,0,0,0,1.8,1.8,1.8,3.6,1.2,3.6,+1.2,+1.2,+0.2,0.15,12,0.25,0.50,6,50.0,17.3,0,FW,92e7e919
136,Matteo Darmian,2,0.6,0.7,2024-2025,34,it ITA,Inter,it Serie A,10,640,7.1,8,2,0,1,2,3,1,0,0,0,0.7,0.7,0.7,1.4,0.6,1.4,+0.3,+0.3,+1.3,0.12,6,0.17,1.00,1,16.7,17.7,0,DF,96e0490d
137,Sebastiano Luperto,2,0.5,1.1,2024-2025,27,it ITA,Cagliari,it Serie A,10,900,10.0,10,0,0,0,2,2,0,0,0,0,0.7,0.7,1.1,1.8,0.5,1.8,-0.7,-0.7,+0.9,0.08,9,0.00,0.00,1,11.1,12.4,0,DF,997fff07
138,Adam Lallana,2,0.2,0.8,2024-2025,36,eng ENG,Southampton,eng Premier League,5,175,1.9,2,3,2,0,2,2,0,0,0,0,0.2,0.2,0.8,1.0,0.2,1.0,-0.2,-0.2,+1.2,0.06,3,0.00,,0,0.0,18.1,0,MF,99813635
139,Adama Traoré,2,1.8,2.1,2024-2025,28,es ESP,Fulham,eng Premier League,9,690,7.7,9,0,0,1,2,3,1,0,0,0,2.6,2.6,2.1,4.7,1.8,4.7,-1.6,-1.6,-0.1,0.15,17,0.06,0.14,7,41.2,15.1,0,FWMF,9a28eba4
140,Rayan Aït-Nouri,2,0.5,1.0,2024-2025,23,dz ALG,Wolves,eng Premier League,9,743,8.3,9,0,0,3,2,5,3,0,0,0,1.0,1.0,1.0,2.1,0.5,2.1,+2.0,+2.0,+1.0,0.11,10,0.30,0.75,4,40.0,14.0,0,DF,9b398aea
141,Ferrán Torres,2,0.3,0.2,2024-2025,24,es ESP,Barcelona,es La Liga,8,328,3.6,5,3,0,1,2,3,1,0,0,0,0.8,0.8,0.2,1.0,0.3,1.0,+0.2,+0.2,+1.8,0.11,7,0.14,0.25,4,57.1,16.6,0,FW,9e1035f8
142,Óscar de Marcos,2,0.4,0.5,2024-2025,35,es ESP,Athletic Club,es La Liga,7,515,5.7,6,1,3,0,2,2,0,0,0,0,0.0,0.0,0.5,0.6,0.4,0.6,0.0,0.0,+1.5,0.05,1,0.00,,0,0.0,16.9,0,DF,9f323c71
143,Lucas Stassin,2,0.1,0.7,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,6,245,2.7,3,3,0,0,2,2,0,0,0,0,0.7,0.7,0.7,1.4,0.1,1.4,-0.7,-0.7,+1.3,0.23,3,0.00,0.00,1,33.3,17.2,0,FW,a47d6f3a
144,Nikola Vlašić,2,0.1,0.1,2024-2025,26,hr CRO,Torino,it Serie A,5,220,2.4,2,3,0,1,2,3,0,1,1,0,1.0,0.2,0.1,1.1,0.1,0.4,0.0,-0.2,+1.9,0.05,4,0.00,,0,0.0,24.0,0,MFFW,aa8e289e
145,Edoardo Bove,2,0.8,1.4,2024-2025,22,it ITA,2 Teams,it Serie A,8,570,6.3,7,1,2,1,2,3,1,0,0,0,0.6,0.6,1.4,2.0,0.8,2.0,+0.4,+0.4,+0.6,0.08,7,0.14,0.50,2,28.6,14.6,0,MFFW,ae94a6c5
146,Ollie Watkins,2,0.6,1.0,2024-2025,28,eng ENG,Aston Villa,eng Premier League,9,685,7.6,9,0,0,5,2,7,5,0,0,0,4.3,4.3,1.0,5.3,0.6,5.3,+0.7,+0.7,+1.0,0.21,21,0.24,0.45,11,52.4,9.8,0,FW,aed3a70f
147,Rico Lewis,2,0.4,0.2,2024-2025,19,eng ENG,Manchester City,eng Premier League,8,664,7.4,8,0,1,0,2,2,0,0,0,0,0.7,0.7,0.2,0.9,0.4,0.9,-0.7,-0.7,+1.8,0.18,4,0.00,,0,0.0,14.9,0,MFDF,b57e066e
148,Maghnes Akliouche,2,1.4,1.1,2024-2025,22,fr FRA,Monaco,fr Ligue 1,8,482,5.4,5,3,0,0,2,2,0,0,0,0,1.0,1.0,1.1,2.2,1.4,2.2,-1.0,-1.0,+0.9,0.10,10,0.00,0.00,1,10.0,17.1,0,FWMF,b625b241
149,Abdul Fatawu Issahaku,2,1.0,1.4,2024-2025,20,gh GHA,Leicester City,eng Premier League,9,399,4.4,4,5,0,0,2,2,0,0,0,0,0.3,0.3,1.4,1.8,1.0,1.8,-0.3,-0.3,+0.6,0.03,10,0.00,0.00,3,30.0,30.5,0,FW,bceda5ff
150,Fabian Rieder,2,1.3,1.1,2024-2025,22,ch SUI,Stuttgart,de Bundesliga,8,404,4.5,4,4,0,1,2,3,1,0,0,0,0.6,0.6,1.1,1.8,1.3,1.8,+0.4,+0.4,+0.9,0.07,9,0.11,0.25,4,44.4,23.7,4,MFFW,c2bd8585
151,Michael Olise,2,2.6,1.9,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,8,539,6.0,7,1,0,5,2,7,5,0,0,0,2.4,2.4,1.9,4.3,2.6,4.3,+2.6,+2.6,+0.1,0.12,21,0.24,0.42,12,57.1,17.4,2,FWMF,c4486bac
152,Georginio Rutter,2,0.9,1.3,2024-2025,22,fr FRA,Brighton,eng Premier League,8,448,5.0,6,2,0,2,2,4,2,0,0,0,1.5,1.5,1.3,2.7,0.9,2.7,+0.5,+0.5,+0.7,0.07,20,0.10,0.67,3,15.0,14.4,0,FWMF,c64c01fc
153,Pedro Pereira,2,0.2,0.2,2024-2025,26,pt POR,Monza,it Serie A,9,638,7.1,8,1,1,0,2,2,0,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,-0.1,-0.1,+1.8,0.03,3,0.00,0.00,2,66.7,17.4,0,DF,c77be0cf
154,Sebastian Nanasi,2,1.5,1.4,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,8,574,6.4,7,1,0,3,2,5,3,0,0,0,2.9,2.9,1.4,4.3,1.5,4.3,+0.1,+0.1,+0.6,0.41,7,0.43,0.60,5,71.4,11.2,0,FWMF,ce747d2a
155,Nélson Semedo,2,0.4,1.0,2024-2025,30,pt POR,Wolves,eng Premier League,7,600,6.7,7,0,0,0,2,2,0,0,0,0,0.3,0.3,1.0,1.3,0.4,1.3,-0.3,-0.3,+1.0,0.06,5,0.00,0.00,3,60.0,22.4,0,DF,d04b94db
156,Theo Hernández,2,0.7,0.5,2024-2025,26,fr FRA,Milan,it Serie A,7,485,5.4,5,2,0,2,2,4,2,0,1,1,1.2,0.4,0.5,1.7,0.7,0.9,+0.8,+1.6,+1.5,0.05,8,0.25,1.00,2,25.0,20.6,0,DF,d4c9725f
157,Mattia Zaccagni,2,1.2,1.0,2024-2025,29,it ITA,Lazio,it Serie A,8,668,7.4,8,0,0,2,2,4,1,1,1,0,2.2,1.4,1.0,3.2,1.2,2.4,-0.2,-0.4,+1.0,0.10,14,0.07,0.20,5,35.7,18.9,0,FWMF,d85c238b
158,Kenan Yıldız,2,1.1,1.0,2024-2025,19,tr TUR,Juventus,it Serie A,10,663,7.4,7,3,0,2,2,4,2,0,0,0,0.9,0.9,1.0,1.9,1.1,1.9,+1.1,+1.1,+1.0,0.06,15,0.13,0.40,5,33.3,17.1,0,FWMF,d8cda243
159,Franck Honorat,2,1.2,1.6,2024-2025,27,fr FRA,Gladbach,de Bundesliga,5,403,4.5,5,0,0,1,2,3,1,0,0,0,1.8,1.8,1.6,3.4,1.2,3.4,-0.8,-0.8,+0.4,0.20,9,0.11,0.25,4,44.4,13.4,0,FW,db7849ca
160,Adam Masina,2,0.4,0.2,2024-2025,30,ma MAR,Torino,it Serie A,10,868,9.6,9,1,0,0,2,2,0,0,0,0,0.0,0.0,0.2,0.3,0.4,0.3,0.0,0.0,+1.8,0.05,1,0.00,,0,0.0,9.9,0,DF,de0f152c
161,Jacob Murphy,2,1.2,1.4,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,9,496,5.5,6,3,0,0,2,2,0,0,0,0,0.3,0.3,1.4,1.7,1.2,1.7,-0.3,-0.3,+0.6,0.05,7,0.00,0.00,3,42.9,19.0,0,FW,de112b84
162,Elliot Anderson,2,0.8,1.2,2024-2025,21,eng ENG,Nott'ham Forest,eng Premier League,9,569,6.3,8,1,0,0,2,2,0,0,0,0,0.8,0.8,1.2,1.9,0.8,1.9,-0.8,-0.8,+0.8,0.05,15,0.00,0.00,3,20.0,19.7,0,MFFW,de31038e
163,Khvicha Kvaratskhelia,2,2.0,2.6,2024-2025,23,ge GEO,Napoli,it Serie A,10,691,7.7,9,1,0,5,2,7,4,1,1,0,3.0,2.2,2.6,5.6,2.0,4.8,+2.0,+1.8,-0.6,0.07,29,0.14,0.40,10,34.5,19.2,1,FWMF,dea88efd
164,Kevin Stöger,2,1.9,3.4,2024-2025,30,at AUT,Gladbach,de Bundesliga,8,549,6.1,6,2,0,0,2,2,0,0,0,0,0.7,0.7,3.4,4.1,1.9,4.1,-0.7,-0.7,-1.4,0.08,8,0.00,0.00,2,25.0,25.7,2,MFFW,e5649a78
165,Matheus Nunes,2,0.7,1.0,2024-2025,25,pt POR,Manchester City,eng Premier League,6,113,1.3,1,5,3,0,2,2,0,0,0,0,0.1,0.1,1.0,1.1,0.7,1.1,-0.1,-0.1,+1.0,0.03,3,0.00,,0,0.0,19.4,0,MFFW,e6af02e0
166,Cyle Larin,2,0.2,1.1,2024-2025,29,ca CAN,Mallorca,es La Liga,9,508,5.6,7,2,2,1,2,3,1,0,0,0,1.4,1.4,1.1,2.5,0.2,2.5,-0.4,-0.4,+0.9,0.15,9,0.11,0.50,2,22.2,12.6,0,FW,e7af9060
167,Exequiel Palacios,2,0.4,0.4,2024-2025,25,ar ARG,Leverkusen,de Bundesliga,3,82,0.9,1,2,2,0,2,2,0,0,0,0,0.0,0.0,0.4,0.5,0.4,0.5,0.0,0.0,+1.6,0.04,1,0.00,,0,0.0,15.4,0,MF,e82adcab
168,Alexander Sørloth,2,0.4,1.3,2024-2025,28,no NOR,Atlético Madrid,es La Liga,11,563,6.3,7,4,0,3,2,5,3,0,0,0,4.1,4.1,1.3,5.4,0.4,5.4,-1.1,-1.1,+0.7,0.17,25,0.12,0.33,9,36.0,13.8,0,FW,e92cd3f7
169,Dani Raba,2,0.4,0.8,2024-2025,28,es ESP,Leganés,es La Liga,6,275,3.1,4,2,5,0,2,2,0,0,1,1,1.0,0.2,0.8,1.8,0.4,1.0,-1.0,-0.2,+1.2,0.03,5,0.00,0.00,2,40.0,31.6,0,FWMF,ea6a7ab4
170,Mohamed Haj,2,0.2,0.5,2024-2025,19,tn TUN,Parma,it Serie A,2,37,0.4,0,2,8,0,2,2,0,0,0,0,0.3,0.3,0.5,0.8,0.2,0.8,-0.3,-0.3,+1.5,0.15,2,0.00,0.00,1,50.0,10.3,0,MF,eb7dc619
171,Emanuele Valeri,2,0.3,0.7,2024-2025,25,it ITA,Parma,it Serie A,7,502,5.6,7,0,1,0,2,2,0,0,0,0,0.1,0.1,0.7,0.8,0.3,0.8,-0.1,-0.1,+1.3,0.03,3,0.00,,0,0.0,24.4,0,DF,ec52b661
172,Lautaro Martínez,2,1.4,1.3,2024-2025,26,ar ARG,Inter,it Serie A,9,738,8.2,9,0,0,4,2,6,4,0,0,0,2.9,2.9,1.3,4.2,1.4,4.2,+1.1,+1.1,+0.7,0.11,27,0.15,0.40,10,37.0,13.8,0,FW,f7036e1c
173,Enzo Millot,2,1.5,1.5,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,8,521,5.8,6,2,0,3,2,5,3,0,1,1,4.2,3.3,1.5,5.7,1.5,4.8,-1.2,-0.3,+0.5,0.23,15,0.20,0.60,5,33.3,14.8,0,MFFW,f76022e7
174,Sávio,2,2.7,3.0,2024-2025,20,br BRA,Manchester City,eng Premier League,7,453,5.0,6,1,1,0,2,2,0,0,0,0,1.1,1.1,3.0,4.1,2.7,4.1,-1.1,-1.1,-1.0,0.09,13,0.00,0.00,4,30.8,20.4,1,FWMF,fe6e7156
175,Pape Matar Sarr,2,0.2,1.1,2024-2025,21,sn SEN,Tottenham,eng Premier League,9,290,3.2,2,7,0,0,2,2,0,0,0,0,0.6,0.6,1.1,1.7,0.2,1.7,-0.6,-0.6,+0.9,0.09,7,0.00,0.00,3,42.9,22.5,0,MF,feb5d972